Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,cluster
17,68,1059,2,194,246,422,40,0,0.0
11,57,1188,4,269,246,438,82,0,1.0
6,56,1018,4,496,246,500,72,0,1.0
3,85,791,4,669,246,515,73,0,1.0
7,34,1361,4,24,246,577,73,0,0.0
10,31,121,4,194,246,759,85,0,0.0
8,36,1261,4,666,246,759,62,0,0.0
40,65,5,4,410,247,113,60,0,1.0
60,76,1505,2,323,248,542,8,1,2.0
67,46,867,2,196,248,550,88,0,2.0
31,80,799,4,83,249,440,50,0,0.0
57,80,1055,2,44,250,651,24,0,0.0
53,84,767,0,624,250,651,6,0,0.0
65,53,700,4,162,251,410,44,0,2.0
67,80,1523,4,163,251,747,49,0,2.0
53,71,235,4,720,252,294,64,0,1.0
57,49,245,2,184,253,70,75,0,1.0
64,82,1290,4,754,254,663,77,0,2.0
37,62,696,13,720,255,229,76,0,0.0
32,68,889,0,508,256,284,56,0,0.0
39,94,721,4,507,257,587,43,1,0.0
61,69,1396,4,195,258,325,3,0,2.0
66,60,304,4,531,259,489,60,0,2.0
65,62,248,2,277,259,735,44,0,2.0
64,80,323,2,158,259,759,69,0,2.0
56,77,209,4,656,260,489,11,0,0.0
66,94,1203,4,323,261,405,8,1,2.0
44,55,942,4,420,262,255,20,0,1.0
42,12,1102,10,549,263,653,27,0,0.0
66,161,919,6,160,263,759,62,0,0.0
57,129,843,13,534,264,161,62,0,0.0
69,161,1600,2,409,265,759,74,0,0.0
10,26,1072,3,425,266,299,66,0,1.0
64,80,932,4,550,267,444,19,0,2.0
68,86,221,4,302,268,174,82,0,2.0
66,75,1634,2,237,268,501,25,0,2.0
70,93,1346,8,195,268,628,11,0,2.0
69,36,1367,6,128,269,759,40,0,2.0
66,59,1497,2,677,270,382,2,0,2.0
69,96,1457,0,626,271,105,8,0,2.0
62,68,1458,0,626,271,105,17,0,2.0
64,65,813,0,388,271,271,20,0,2.0
47,85,1476,2,161,272,759,59,0,0.0
69,134,125,4,52,273,34,81,0,0.0
68,161,349,2,479,273,67,61,0,0.0
70,59,957,2,126,273,111,58,0,1.0
63,60,303,4,586,273,118,73,0,2.0
61,42,527,6,757,273,170,24,0,2.0
62,53,1227,4,569,273,225,14,0,2.0
67,161,682,2,521,273,346,53,0,0.0
65,67,1270,2,454,273,610,66,0,2.0
60,77,197,0,237,273,621,1,0,0.0
65,86,1575,4,195,273,663,6,1,2.0
70,71,1158,4,615,273,759,58,0,2.0
67,49,58,4,76,274,759,59,0,2.0
16,157,539,13,99,275,678,82,0,0.0
14,49,870,2,560,276,140,86,0,1.0
54,59,745,4,196,277,103,85,0,1.0
66,48,215,4,465,277,383,65,0,2.0
61,53,1454,4,202,278,57,61,1,1.0
65,56,1053,4,271,279,42,5,0,2.0
67,47,1563,6,754,280,158,36,0,2.0
69,56,753,8,619,280,304,23,0,2.0
64,70,683,10,409,281,488,8,0,2.0
65,53,219,0,733,282,759,51,0,2.0
67,64,1446,0,658,283,374,9,0,2.0
48,54,1468,2,631,284,82,41,0,1.0
62,60,1442,4,618,284,184,81,0,2.0
56,72,555,2,126,284,296,46,0,1.0
60,69,166,2,590,284,339,74,0,2.0
50,69,255,4,8,284,355,82,1,1.0
65,72,1106,2,618,284,448,6,0,2.0
52,63,597,4,325,284,475,23,0,0.0
70,62,706,2,454,284,514,14,0,2.0
64,66,1610,2,378,284,575,22,0,2.0
62,60,1182,2,622,284,585,53,0,2.0
58,62,1326,2,126,284,601,49,0,2.0
52,69,1425,4,361,284,651,28,0,0.0
58,70,1176,2,22,284,754,61,0,0.0
69,75,399,8,315,284,759,55,0,2.0
9,55,119,4,134,285,229,84,0,1.0
50,38,1300,4,468,286,677,84,0,0.0
42,92,301,4,720,287,285,29,0,0.0
30,58,55,4,236,287,636,49,0,0.0
26,47,832,8,727,287,721,16,0,0.0
18,41,833,4,3,287,704,57,0,0.0
24,70,595,4,236,287,704,57,0,0.0
26,58,899,4,236,287,704,48,0,0.0
68,65,423,2,40,288,47,84,0,1.0
42,90,938,4,137,289,299,2,0,0.0
65,45,697,8,566,290,224,0,0,2.0
62,50,789,2,556,291,286,3,0,2.0
63,55,1400,8,670,291,302,27,0,2.0
27,44,1479,4,444,292,59,87,0,1.0
42,124,1014,7,309,293,160,10,1,0.0
38,83,1546,4,410,293,322,32,0,1.0
54,66,1252,0,137,293,404,6,0,0.0
39,69,290,4,256,293,745,60,0,0.0
34,81,1206,4,410,294,17,21,0,1.0
30,55,1125,2,698,294,160,48,0,1.0
46,94,876,4,521,294,283,78,1,0.0
69,92,1313,13,698,294,358,75,0,0.0
45,68,636,4,698,294,377,50,1,1.0
35,113,411,2,698,294,388,51,0,0.0
53,67,1267,13,720,294,476,76,0,0.0
59,69,1079,4,232,294,597,23,1,2.0
69,61,49,2,698,294,759,62,0,2.0
69,76,222,4,698,294,759,73,0,2.0
69,105,443,4,698,294,759,34,0,0.0
69,75,880,4,698,294,759,22,0,2.0
69,73,1140,2,698,294,759,25,0,2.0
69,72,1623,2,698,294,759,66,0,2.0
69,73,1630,2,698,294,759,12,0,2.0
70,55,797,4,633,295,189,31,0,2.0
64,74,694,4,294,296,16,2,0,2.0
65,72,1491,2,196,296,405,50,0,2.0
66,119,845,4,163,296,620,32,0,0.0
69,59,1119,4,334,296,759,53,0,2.0
66,47,1382,4,557,297,564,42,0,2.0
44,80,21,4,637,298,755,20,1,0.0
64,50,821,4,419,299,206,89,0,2.0
67,43,943,6,439,300,87,9,0,2.0
21,155,54,8,100,301,678,77,0,0.0
70,48,51,0,376,302,686,19,0,2.0
65,55,77,2,688,303,301,71,0,2.0
58,59,258,2,126,304,558,70,0,0.0
51,62,1499,7,732,305,675,11,0,0.0
65,54,1248,2,225,306,126,5,0,2.0
25,17,659,13,181,307,678,61,0,0.0
6,108,1452,4,36,308,680,33,0,0.0
64,50,1276,4,724,309,494,63,0,2.0
65,65,1170,4,62,310,347,71,0,2.0
12,40,793,4,608,311,229,9,0,1.0
28,64,657,2,662,312,375,42,0,1.0
69,49,728,0,288,313,734,10,0,2.0
65,54,1208,2,110,314,133,23,0,2.0
67,74,1083,2,196,314,277,68,0,2.0
58,70,896,4,184,315,537,65,0,0.0
60,96,1635,4,745,316,297,59,0,0.0
58,66,1567,10,386,317,242,62,0,0.0
18,87,1067,0,698,318,705,51,0,0.0
65,72,583,4,107,319,146,27,0,2.0
67,81,480,4,644,319,458,5,0,2.0
70,62,50,2,371,319,650,8,0,2.0
10,25,561,6,242,320,98,61,0,0.0
69,68,1035,2,30,321,198,60,0,2.0
68,53,31,4,254,322,43,1,0,2.0
58,89,326,4,196,322,509,45,0,0.0
66,57,360,2,596,322,640,6,0,2.0
60,80,1403,4,391,323,723,73,0,2.0
65,49,253,2,692,324,44,17,0,2.0
51,63,36,2,629,324,235,79,1,1.0
48,89,1632,4,38,324,596,18,0,0.0
66,49,1288,2,360,324,596,76,0,2.0
64,60,274,8,139,325,116,5,0,2.0
33,68,1369,2,65,326,59,58,0,1.0
67,50,1041,2,355,327,333,88,0,2.0
59,92,961,4,82,328,669,80,1,0.0
5,21,458,8,203,329,299,45,0,0.0
15,20,1441,2,242,330,759,6,0,0.0
69,43,1421,2,172,331,306,3,0,2.0
61,50,198,2,112,332,194,10,0,2.0
65,46,1416,0,334,333,154,47,0,2.0
68,91,38,0,481,333,759,44,0,2.0
64,60,89,4,261,334,434,74,0,2.0
41,59,160,2,83,335,406,7,0,0.0
69,77,341,2,338,335,759,43,0,2.0
66,62,1048,0,602,336,730,43,0,2.0
26,60,1159,4,209,337,59,29,0,1.0
51,63,1115,2,520,338,73,3,1,1.0
61,57,1642,2,125,338,165,34,0,2.0
53,51,53,2,740,338,733,42,0,0.0
