Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,cluster
63,54,233,8,129,325,112,5,0,0
32,62,1071,2,60,326,59,58,0,1
66,44,812,2,320,327,305,88,0,1
58,86,757,4,76,328,590,80,1,2
4,16,376,8,188,329,276,45,0,1
14,15,1131,2,219,330,670,6,0,2
68,37,1114,2,159,331,283,3,0,0
60,44,169,2,105,332,183,10,0,0
64,40,1111,0,300,333,147,47,0,0
67,85,33,0,418,333,670,44,0,2
63,54,80,4,237,334,392,74,0,1
40,53,135,2,77,335,369,7,0,0
68,71,285,2,304,335,670,43,0,2
65,56,817,0,523,336,641,43,0,2
25,54,905,4,194,337,59,29,0,0
50,57,867,2,450,338,73,3,1,0
60,51,1287,2,116,338,157,34,0,0
52,45,48,2,641,338,644,42,0,2
67,62,437,2,300,339,11,19,0,0
54,43,1284,2,641,339,644,42,0,2
32,22,633,8,562,340,345,66,0,1
65,57,324,0,91,341,425,14,0,0
60,51,199,0,241,342,417,51,0,2
66,99,192,4,143,343,586,8,1,2
68,74,110,4,163,344,408,8,0,0
54,48,91,2,9,345,7,68,1,1
56,50,731,2,9,345,7,82,1,1
58,127,962,4,37,345,47,76,1,1
63,59,294,2,560,345,57,84,0,1
54,90,699,4,23,345,94,54,0,1
49,118,489,4,77,345,139,8,1,0
51,130,488,4,462,345,137,89,2,1
53,63,582,2,254,345,463,6,0,0
49,40,895,2,9,345,516,81,0,1
52,36,703,2,9,345,670,84,0,2
50,42,1067,2,9,345,670,59,0,2
47,84,417,4,486,346,200,88,0,1
57,71,445,8,545,347,30,82,0,1
54,97,164,4,555,347,221,76,0,1
54,78,185,4,462,347,481,36,0,2
49,52,666,2,18,348,531,40,0,2
30,70,770,0,226,349,216,71,0,1
32,57,1165,8,257,349,276,69,0,1
31,67,956,8,578,349,276,25,0,0
22,24,1276,4,357,350,130,26,0,0
16,55,1092,0,608,350,333,11,0,0
33,83,119,6,328,350,359,69,0,1
66,67,678,0,242,351,185,69,0,1
69,33,170,2,416,351,268,69,0,1
4,18,371,4,34,352,628,89,0,1
55,99,1125,0,77,353,185,87,0,1
64,44,1124,0,506,353,228,77,0,1
47,44,927,2,641,353,627,49,0,2
66,50,315,8,434,354,453,1,0,2
67,61,314,0,143,354,551,3,0,2
64,55,792,2,247,355,258,21,0,0
60,143,776,0,170,356,51,29,0,0
61,104,870,4,576,356,635,27,0,2
61,50,1210,2,416,356,665,73,0,2
64,49,208,2,105,357,650,8,0,2
66,58,394,0,521,358,314,25,0,0
64,44,364,4,505,358,332,71,0,1
63,44,526,4,404,359,335,41,0,2
46,56,943,4,100,360,139,78,0,1
61,60,37,4,648,361,661,78,0,2
12,10,332,13,623,362,129,50,0,1
67,52,71,2,290,363,142,14,0,0
63,52,297,2,290,363,197,66,0,1
54,81,81,8,300,364,635,35,0,2
66,73,1032,4,84,365,460,53,0,2
64,42,100,4,255,366,71,62,0,1
66,40,362,6,570,366,138,55,0,1
64,44,825,0,479,367,350,15,0,0
67,64,795,2,430,368,307,23,0,0
55,68,486,12,363,369,482,67,0,2
63,43,1193,2,253,370,100,79,0,1
30,48,1203,4,419,371,432,82,0,1
46,34,958,0,440,372,127,44,0,0
65,52,893,2,303,372,135,4,0,0
58,73,1253,4,181,373,35,62,0,1
65,70,999,4,287,373,387,2,0,0
67,55,466,2,641,373,452,60,0,2
62,72,6,7,180,374,25,71,0,1
63,38,1106,2,425,375,69,28,0,0
